Luganda,English
EBIGAMBO BY’EKISAWO MU LUGANDA,LUGANDA MEDICAL AND ARTISANS’ TERMINOLOGIES
ENNYANJULA,INTRODUCTION
"EMPULIZGANYA kikulu nnyo mu mpeereza y’emirimu, naddala mu bujjanjabi","COMMUNICATION is very vital in services delivery, especially in the medical sector."
Aboogezi b’Olulimi Oluganda bangi balina amannya Amaganda agayitibwa endwadde ezitali zimu kyokka nga gakaluubirira abajjanjabi bangi ne batamanya bulwadde buba bwogerwako ate nga n’abalwadde bakaluubirirwa okugazza mu lulimi Olungereza oba olusawo abajjanjabi basobole okutegeera.,Native Luganda speakers have names associated with different diseases but many medical practitioners cannot relate these terms to the medical terminologies for these diseases and this usually may lead to misunderstandings between patients and medical services providers
"Endwadde endala abasawo bazoogerako mu lulimi lw’ekisawo, abalwadde lwe batategeera so ng’endwadde ezo zennyini zirina amannya mu lulimi Oluganda era nga ssinga omusawo g’akozesezza omulwadde yandyongedde okutegeera ekimuluma.",The vice versa is also true where medical services providers use terminologies for diseases which patients fail to relate to whereas they have equivalents in their mother tongue which they would relate to and therefore have a better understanding of their medical conditions.
"Okutumbula empuliziganya wakati w’abalwadde n’abasawo, akakiiko ka Luganda/ Lusoga/ Lugwere Vehicular Cross-border Language Commission kye kavudde kawandiika ekitabo ekinnyonnyola ebigambo by’ekisawo mu lulimi Oluganda n’ekigendererwa ky’okwanguyiza abalwadde, abajjanjabi n’abayiga obujjanjabi okwongera okutegeera amannya g’endwadde ezitali zimu mu Luganda era n’ebizikwatako mu bufunze","By compiling medical terminologies and their Luganda equivalents and meanings, the Luganda/ Lusoga/ Lugwere Vehicular Cross-border Language Commission aims at easing communication between patients and medical service providers, and also supporting teaching and learning in the medical field for the students and teachers in the Luganda speaking areas."
"Ebigambo bino bifuniddwa okuva mu boogezi b’olulimi, okuva mu mawulire ate ennyinnyonnyola yaabyo n’eggyibwa mu basawo abakugu n’abajjanjabi.","The words are a compilation from Luganda speakers, from health news in the media and from medical practitioners who have also given manings to these medical terminologies."
EBISOOKERWAKO,FOREWORD
"BAJJAJJAFFE baamanya nti emmere n'ebimera ebitwetoolodde ddagala. Baamanya nga bwe balya obulungi, ne bafuna amazzi amalungi, ne bafuna empewo ennungi, ng’omuntu aba mulamu, era awona obulwadde obuba bumuzinze. Enzijanjaba eyaffe ey'edda twagidibya nga tufunye abagenyi abaatukyayisa ebyaffe. Kale omulimu ogukomyawo okumanya amannya g'endwadde n'eddagala bye twali tumanyi kirungi nnyo. Twafuna ebigambo ebitaali bya Luganda naye nga bituyigiriza enzijanjaba ey'omulembe n'okukola emirimu egy'enjawulo mu Luganda. Kale ebigambo ebyo bwe tubiyiga mu Luganda kijja kwongera okufuna obukugu obw'emirundi ebiri, enzijanjaba engwira n'eyaffe ey'edda. Kirungi abantu ab'enjawulo nabo bongere okunoonyereza mu mirimu egy'enjawulo, tubiwe bannaffe abatandise omulimu guno, tusobole okuba abakugu mu bintu bingi, kyokka nga tusigadde tuli Baganda mu buli nsonga.","OUR ancestors knew that food and plants were medicine. They knew that by eating properly, getting fresh and clean water, and getting fresh air, one gets good health and can fight off invading disease. Our old ways of treating the sick as well as doing different jobs were abandoned when foreigners came and made us hate our culture telling us that it was primitive. Now this great job of bringing back that old Kiganda knowledge of the names of diseases and the drugs that cured them is great. We got foreign words teaching us modern medicine and doing different jobs. When we get our Luganda words relating to and explaining the foreign words, this is a big step to making us experts both in foreign and our old ways of work. It is of utmost importance that different people do research in those terminologies in Luganda and pass them to the group that started this great job of relating the old traditional knowledge with the modern as a way of helping us become experts in different jobs while we remain Baganda."
"Omusawo alongoosa, akola mu Kampala Hospital",Surgeon at Kampala Hospital
EBIKWATA KU BAWANDIISI,ABOUT THE AUTHORS
"EKITABO kino kiwandiikiddwa bannakakiiko ka Luganda/ Lusoga Lugwere oluvannyuma lw’okukola okunoonyereza mu bantu abatali bamu abakugu b’olulimi Oluganda, n’abakugu mu mirimu egitali gimu omuli abasawo abatendeke mu malwaliro n’abo abajjanjaba mu nkola ey’ekinnansi, abakola emirimu nga obuweesi, obuzimbi n’obwamakanika.","THIS book was written by members of the Luganda/ Lusoga/ Lugwere Vehicular Cross-border Language Commission who compiled terminologies after research and consultations with medical practitioners, artisans, mechanics and selected Luganda language specialists."
"Ebigambo by’ekisawo biwandiikiddwa Margaret Nankinga ne Dr. Adam Kimala omusawo alongoosa owa Kampala Hospital nga bayambibwako Ambrose Kiyingi ng’ono mujjanjabi akozeeko mu malwaliro ag’omu byalo okuli Seeta Namuganga ne Naggalama nga kati asoma diguli mu bwannansi, wamu ne Patrick Katongole asoma eby’eddagala. Bano bombi bali mu yunisite ya Ssaayansi n’amagezi ag’ekikugu (tekinologiya) e Mbarara.","The medical terminologies were compiled by Margaret Nankinga and Dr. Adam Kimala with the support of Ambrose Kiyingi and Patrick Katongole. Margaret Nankinga is a teacher of Luganda, an editor and author, Dr Kimala is a surgeon at Kampala Hospital while Ambrose Kiyingi is a nurse who has worked in rural hospitals; at Seeta Namuganga in Kayunga district and Naggalama Hospital in Mukono district. He is currently doing a degree in Nursing at Mbarara University of Science and Technology. Katongole is a student of pharmaceutical sciences at Mbarara University."
Ebigambo by’obuweesi bikuaanyiziddwa Joyce Naluggya Tomusange eyakola okunoonyereza mu baweesi b’e Katwe ne Masaka. Naluggya muwandiisi wa butabo mu Luganda. Ebigambo by’obwamakanika byakuaanyizibwa Fred Lukabwe Kisirikko eyakola okunoonyereza mu bamakanika abatali bamu e Kampala ne Masaka. Kisirikko ye Ssentebe w’Ekibiina Ky’olulimi Oluganda ate ebikwata ku kuzimba ne biwandiikibwa Florence Nabacwa eyabinoonyerezaako mu Kampala ne Wakiso. Nabacwa musomesa.,"The metalsmiths’ terminologies were compiled by Joyce Naluggya Tomusange, after consulting artisans in Katwe and Masaka. Naluggya is an author of books in Luganda language. The terminologies of mechanics were compiled by Fred Lukabwe, the Chairman of the Luganda Language Soceity after consulting mechanics in Kampala and Masaka. Building and construction terminologies were compiled by Florence Nabacwa after consulting building specialists in Wakiso and Kampala. Nabacwa is a teacher."
"Bisengekeddwa Margaret Nankinga, omukwanaganya w’akakiiko.",Layout is by Margaret Nankinga.
OKWEBAZA,APPRECIATION
Twebaza abantu bonna abakoze obutaweera okulaba ekitabo kino nga kifuluma.,Appreciation goes to all those people who supported the compilation and production of this book.
"Twebaza abakugu b’olulimi Oluganda okuva mu yunivasite e Makerere, Uganda Martyrs’ University, Muteesa Royal University, abeebyenjigiriza, bannaddiini n’Abeekibiina ky’Olulimi Oluganda abakkiriza nga tubayise okujja okukubaganya ebirowoozo n’okuwabula ku bigambo bino era okuwabula kwammwe kwe tuzimbidde ekitabo kino. (Olukalala lw’amannya gaabwe luli ku lupapula 55).","Special thanks go to Luganda language specialists from Makerere University, Uganda Martyrs’ University, Muteesa Royal University, educationists, religious leaders and members of Luganda Language Soceity who agreed to participate in the workshop to discuss these terminologies and made contributions which have helped in the production of this book."
"Twebaza abaweesi b’e Katwe, abazimbi ne bamakanika mu Kampala Wakiso ne Masaka abakkiriza okutuwa bye bamanyi ku lulimi lwe bakozesa mu mirimu gyabwe.","We are also grateful to all the medical workers and artisans in Kampala, Wakiso and Masaka who positively contributed to the compilation of the terminologies in this book."
Twebaza Obwakabaka bwa Buganda obwatuwa ekifo we twakuaanira nga tukubaganya ebirowoozo ku bigambo bino.,We thank the Buganda government for providing us with space to hold our workshop.
Okwagala n’okwewaayo kwe mwalaga n’amagezi ge mwawa bye bitusobozesezza okufulumya ekitabo kino era tulina essuubi nti omulimu gwe tutandise muli baakugwongerako.,All your contributions and advice contributed greatly to the production of this book and we hope that you will add to the work we have started.
Ebigambo by’ekisawo,Medical terminologies
Ebigambo by’okukanika,Mechanical terminologies
Ebigambo by’okuweesa,Metal artisans’ terminologies
Ebigambo by’okuzimba,Builders’ terminologies
Ebisembayo,Appendix
ESSUULA ESOOKA,CHAPTER ONE
ESSUULA 1,CHAPTER 1
Entumbi,Volvulous
Ebinyaanya,Psoriasis
Sukaali,Diabetes
Sukaali akwata abakazi abali embuto,Gestational diabetes
Ssukaali mu bembuto,Gestational diabetes
Ekyuma ekikyusa eddagala ey’amazzi ne lifuuka omukka,Nebuliser
Endwadde z’amagumba,Osteopath
Okuwutta,Dementia
Obwongo okusanguka,Dementia
Okubulwa otulo okw’olutentezi,Chronic insomnia
Kafuuwalususu,Melatonin
Kakyusamubiri,Circadian rhythm
Entunnunsi,Cardiac rhythm
Kaboole,Plaque
Ekikeeto,Acid reflux
Kavunzamannyo,Cariogenics
Kakebejjamabeere,Mammography
Kisalamabeere,Mastectomies
Kirongoosabbeere,Mastectomies
Okwekebejja munda mu lubuto,Laparoscopic investigation
Entabiro y’obusimu,Coronary plexus
Omwaliiro gw’obusimu,Coronary plexus
Obulumi mu ssaabiro,Costoclavicular syndrome
Enjoka ez’eddumi,Dysmenorrhea
Kalindamwana,Endometrium
Kalindamwana omulwadde,Endometriosis
Akalaakiiro,Diphtheria
Okutuuma obulwadde erinnya,Diagnosis
Ekiwato,Pelvis
Ekizimba,Tumour
Ekizimba ku bwongo,Choroid plexus papilloma tumour
Amasaŋŋanzira g’obusimu,Plexus
Amambulugga,Mumps
Ebisenge by’amagezi,Hippocampus
Obusimu bw’amasannyalaze,Neurons
Akatoffaali k’obusimu,Neural cell
Akasimu akasabike,Neural Fiber
Ekisenge ky’obujjukizi,Dentate gyryus
Obutoffaali obuzimba ebisenge by’amagezi,Hippocampal neurons
Enkula y’obusimu,Neurogenesis
Abaserikale b’omubiri,Antibodies
Akatoffaali nnakizaalizi,Neural precursor cells
Eddagala erigema okuzaala,Contraceptives
Kawuuzi w’omubiri,Multiple sclerosis
Amabwa g’omu bulago,Tonsillitis
Ssekattabuwuka,Antimicrobial
Kattabuwuka,Antibiotics
Eddagala kagemakuzaala,Contraceptives
Obulwadde kasulikabwongo,Pediatric autoimmune neuropsychiatric disorders
Situleputokookasi,Streptococcus
Yinfekisoni,Infection
Obulwadde bwa situleputokookasi,Streptococcal infection
Okuvunda kw’omubiri,Sepsis
Kaleetandwadde,Pathogens
Entambula y’endwadde,Pathogenesis
Olukonvuba,Chronic disease
Ensulo nnamazzi,Lymphatic system
Oluzzi lw’ensulo nnamazzi,Lymph node
Kanyonyoogerabusimu,Synesthesia
Okusimbuliza,Transplant
Okukussaamu nnabaana,Uterus transplants
Amagi g’omukazi,Ovary
Eggi ly’omukazi,Ovium
Okuggyamu oba okusala ku nnabaana,Hysterectomy
Obulwadde bw’akazoole,Psychosis
Omutima okwesiba,Cardiac arrest
Enfaanana,Physiognomy
Okusannyalala ekitundu ky’omubiri,Paraplegic
Okusannyalala oludda,Hemiplegia
Kookolo (kkansa) w’omu musaayi,Leukemia
kkansa w’omu musaayi,Leukemia
Kakyusabwongo,Neuroplastic change
Obulumi obw’olutentezi,Chronic pain
Kookolo w’omu mumiro,Oesophageal cancer
Endwadde ekwata obutoffaali bw’empulirizo,Motor neuron disease
Omubiri okwokebwa,Thermal injury
Kawuuzi amera awali ettuulituuli,Cystic fibrosis
Obulwadde bw’ensulo nnamazzi,Lymphoma
Okugwa emmeeme ey’emabega,Rectal prolapsed
Birihaaziya,Bilharzia
onkosalukosisi,Bilharzia
Vayiraasi,Virus
Enzijanjaba eteri ya bulijjo,Allopathy
Kawagamubiri enzaale,Phytoestrogens
Kazibamawuggwe,Chronic Obstructive Pulmonary Disease (COPD)
Amasavu agava mu bimera,Phytosterols
Enzijanjaba ey’okuconcona,Acupuncture
Amakiro,Eclampsia
Okwennyika kwa nnakawere,Postpartum depression
Okwennyika kwa nnakawere,Postnatal depression
Enkaka,Jaundice
Akawompo k’oku nkoona,Posterior fontanelle
Olububi olubisse obwongo n’enkizi,Epidural
Okulunguula kw’enkizi,Transverse myelitis
Obulema obuzaale obw’amagumba,Osteogenesis Imperfecta
Omutwe omuteezi,Migraine
Otulo otw’ekiwamma,Insomnia
Obubwa oba obuzimba bw’embalabe,Cystic acne
Omusawo w’ensusu,Dermatologist
Eddagala eryagaza okwegatta mu by’omukwano,Aphrodisiac
Kazaalamasavu,Triglycerides
Okulunguula kw’omubiri,Inflammation
Ennaanu y’eŋŋaano,Gluten
Okufukaafuka,Polyuria
Nkalamata etesalako,Polydipsia
Okulya ennyo,Polyphagia
Amasavu mu musaayi,Dyslipidemia
Okufa emmunye,Retinopathy
Obulwadde bw’ensigo,Nephropathy
Obulwadde obukwata emisuwa egy’oku bwongo,Cerebrovascular disease
Endwadde munda mu bisenge by’ebyenda,Celiac disease
Amasavu agasusse mu musaayi,Hyperlipidemia
Obutuuliro,Gluteal region
Eddagala erikubwa mu misuwa,Intravenous
Olupiira katambuzamusaayi,Intravenous catheter
Ssukaali owa wansi,Hypoglycemia
Ettulu ery’ekiseera,Transient Monocular Vision Loss
Kawuuzi w’emisuwa,Atherosclerosis
Omujjanjabi w’amaaso,Ophthalmologist
Ttumbiizi,Bloating
Kakenge,Bloating
Okuwutta,Alzheimer's 
Okusanguka obwongo,Alzheimer's 
Obulwadde obukosa entambula,Irritable Bowel Syndrome (IBS)
emkola y’ebyenda,Irritable Bowel Syndrome (IBS)
Amakugunyu,Gluteus
Ppata okuta,Incontinence
Okuyitira,Incontinence
Amagumba okwerya oba okukakanyala,Osteoporosis
Okulunguula kw’ekimiro,Bronchitis
Amamiro,Bronchitis
Ebizimba ebirimu kkansa,Malignant tumours
Ebizimba ebirimu kookolo,Malignant tumours
Emisuwa egizimbye,Varicose veins
Emiziga egizimbye,Varicose veins
Endwadde ezitulira,Contagious diseases
Kookolo w’obusajja,Penile cancer
Ensiriba z’obusimu,Neurofibromatosis (NF)
Okutya okusukkiridde,Phobia
Obuyinja mu nsigo,Kidney stones
Ebituulituuli ku nsigo,Cysts Polycystic Kidney Disease (PKD)
Okufa ensigo,Renal failure
Okussa ng’omukka obaka mubake,Apnoea
Kuzza kkubo lya mmere mu kabuto akato,Gastric bypass
Makebe,Gland
 Kibondo,Gland
Ensanjabavu y’oku bwongo,Pituitary gland
Ekibondo kaliisamusaayi,Endocrine glands
Ekibondo kaliisamubiri,Exocrine glands
Ekizimba mu nsanjabavu y’oku bwongo,Craniopharyngioma
Okukalirira ekitundu ekirwadde ng’ogenderera okukiwonya,Proton beam therapy
Buweke bw’obutoffaali,Protons
Omulongoosa,Surgeon
Omusawo alongoosa,Surgeon
Essomo ly’obusobozi bw’abantu,Ergonomics
Amakebe,Sweat glands
 Ekibondo ky’entuuyo,Sweat glands
Amakebe,Apocrine glands
Ekibondo ky’entuuyo,Apocrine glands
Okufukumuka entuuyo,Hyperhidrosis
Omukugu mu kujjanjaba ensusu,Dermatologist
Sswiici efuga omubiri,Hypothalamus
kazaalalutuuyotuuyo,Eccrine glands
Ennywanto,Nipples
Enkwawa,Armpits
Embalakaso,Genitals
Embaasuulo,Genitals
Enso,Patella
Obuwuka obubeera mu mubiri obugulwaza,Staphylococcus hominis
Olusu,Malodorous byproducts
Kattantuuyo,Antiperspirants
Okuwunya kw’omubiri okw’engeri zonna,Odour
Okuwunya olutuuyotuuyo,Malodorous sweat
Kakubisamutima,Pacemaker
Endwadde y’obusimu obutambuza omubiri,Motor neuron disease
Endwadde esannyalaza omubiri,Amyotrophic lateral sclerosis (ALS)
Omubiri okusika amasannyalaze,Electrosensitivity
Okusinduukirirwa emmeeme,Nausea
Mulalama,Meningitis
Mulalama ava ku buwuka bwa kuliputokoko,Cryptococcal meningitis
Akafuba,Tuberculosis
Olufuba,Asthma
Asima,Asthma
Abakugu mu ndwadde z’ebigere,Podiatrists
Okussa ku mulwadde amazzi oba omusaayi,Transfusion
Ssukaali okukka ennyo,Hypoglycemia
Ssukaali okulinnya ennyo,Hyperglycemia
Okuyulika kw’ekibebenu ky’evviivi,Meniscus tears
Okulunguula ebinywa,Tendinitis
Ggaamu w’omubiri,Collagen
Okufa kw’ekitundu ku mubiri,Necrosis
Kattabuwuka,Antiseptic
Ebituulituuli,Blisters
Mugaba,Stria gravidarum
Okulunguula kw’olususu,Cellulitis
Eddagala erijjanjaba okulunguula kw’olususu,Anti-cellulitis
Okuweekeera,Stridor
Okulunguula kw’akasaanikira k’amamiro,Epiglottitis
Okulunguula kw’akasaanikira k’ekimiro,Epiglottitis
Homoni z'ekisajja,Testosterone
Kakozzalukizi,Spinal Muscular Atrophy (SMA)
Kattabulumi,Analgesic
Obujjanjabi,Therapy
Amasira mu musaayi,Septicemia
Okuzimba omutima,Ventricular hypertrophy (LVH)
Ekitundu ky’omutima ekya kkono okuzimba,Left ventricular mass
Omukugu mu ndwadde z’omu lubuto,Gastroenterologist
Abalwadde abatali ba bitanda,Outpatients
Abalwadde abali ku bitanda,Inpatients
Kalabamunda,ENDOSCOPY
Endagabutonde,DEOXYRIBONUCLEIC ACID
Endagabutonde,DNA 
Kaanikanda,Radiology
Kompyuta kaanikanda,CT Scan
Kativvi,CT Scan
Kakebejjanda,Ultrasound
Essomo ly’endwadde z’omutima,Cardiology
Kalondoozi w’amasannyalaze g’omutima,Electrocardiography
Likodi y’amasannyalaze g’omutima,Electrocardiogram
Katangaazamutima,Echocardiography
Kakebejjamutima,Holter Monitoring
Kakebejjamisuwa,CT Angiogragraphy
Okukuba ebifaananyi munda mu mubiri,Multi Slice
Okulongoosa omusaayi oguli mu mubiri ng’okozesa ebyuma ,Dialysis
Kafusabyuma ,Continuous Renal Replacement Therapy
Omubiri okwejjanjaba,Physiotherapy
Okwekebejja omukka oguli mu musaayi,Arterial Blood Gas
Emmere ddagala,Dietetics
Ebyendiisa,Nutrition
Awajjanjabirwa abayi,Intensive Care
Okulongoosa,General surgery
Okulongoosa omuntu nga tomusaze,Minimally invasive surgery
Endabirira y’omukazi ng’azaala,Obstetrics
Enzijanjaba y’obukazi,Gynaecology
Ennongoosa ey’akatuli,Laparascopic gynaecology
Okujjanjaba abaana,Paediatrics
Enzijanjaba y’abaana,Paediatric care
Okujjanjaba abawere,Neonatology
Okuyunga n’okujjanjaba amagumba,Orthopaedics
Kakebejjannyingo,Arthroscope
Okulongoosa ennyingo ng’okozesa kakebejjannyingo,Arthroscopic surgery
Okulongoosa obusimu,Neurosurgery
Okujjanjaba ebizimba,Medical oncology
Omukugu mu kujjanjaba ebizimba,Oncologist
Kawagamubiri,Hormones
Enzijanjaba y’ebitundu ebifuka,Urology
Okujjanjaba emitima,Cardiology
Endabirira y’abayi,Critical care
Endabirira y’abawere,Neonatal Care
"Amatu, ennyindo n’emimiro",ENT
"Okulongoosa mu matu, ennyindo n’emimiro",Endoscopic ENT Surgery
Kakyusandabika,Plastic surgery
Okutereeza n’okuzzaawo endabika y’ekitundu ku mubiri,Reconstructive surgery
Ennongoosa y’ebitundu ku mutwe n’akamwa,Oral and Maxillo facial surgery
Enzijanjaba y’ebitundu ebikola ku kussa,Pulmonology
Enzijanjaba y’olubuto n’ebyenda,Gastroenterology
"Enzijanjaba y’ekibumba, akalulwe n’akataago",Hepatology
Ekibumba,Liver
Akalulwe,Gallbladder
Akataago,Pancreas
Enzijanjaba eteri ya kulongoosa,Internal medicine
Obujjanjabi obuweebwa ab’omu maka,Family medicine
Obukugu bw’okujjanjabisa amayengo g’amasannyalaze,Radiology
Obukugu bw’okujjanjaba endwadde z’obwongo,Clinical Psychology
Enzijanjaba z’omunÿo,Practology
Okulongoosa emisuwa n’amasannyalaze,Venous Laser Surgery
Okulongoosa amagumba g’enkizi,Percutaneous Laser Disc
Okulongoosa amagumba olugongo,Percutaneous Laser Disc
Enzijanjaba y’amaaso,Ophthalmology
Ekkeberero ly’emitima,Catheterisation Laboratory
Ekkeberero ly’emitima,Cath Lab
Kakebejjansigo,Nephrology
Abaana abakolere mu bucupa,IVF
Okuwakisa mu bucupa,IVF
Abaana abakolere mu bucupa,In Vitro Fertilisation
Okuwakisa mu bucupa,In Vitro Fertilisation
Kasalabbuto,Bariatric Surgery
kubembula masavu,Bariatric Surgery
Ssweeta ey’omulembe,Modular Operation Theatre
Ebyamannyo,Dental
Ebitanda okuzaalirwa,LDR Suits
Olunnyo lw’omu ssanya,LDR Suits
Ebitanda okuzaalirwa,Labor Suits
Olunnyo lw’omu ssanya,Labor Suits
Ebitanda okuzaalirwa,delivery suits
Olunnyo lw’omu ssanya,delivery suits
Ebitanda okuzaalirwa,recovery suits
Olunnyo lw’omu ssanya,recovery suits
Enzijanjaba ezuukusa ebitundu obusimu,Occupational Therapy
Enzijanjaba ezuukusa ebitundu by’obusimu,Occupational Therapy
Lukebera,Pathology
Okusannyalala,Stroke
 Situlooko,Stroke
Akasaayi kitukutwe,Thrombosis
Akasaayi akeetukutukidde mu musuwa,Thrombosis
Akatole k’omusaayi mu musuwa,Thrombosis
Akasaayi sirombooso,Thrombosis
Okusannyalaza,Anaesthesia
Okusannyalazaako ekitundu,Epidural
Okusannyalazaako ekitundu,regional anaesthesia
Omukazi eyalongoosebwamuko omwana okuzaala omulala nga talongooseddwa,Vaginal Birth After Caesarean
Ssaayansi w’endwadde z’ensigo,Nephrology
Okulongoosa omusaayi oguli mu mubiri n’ebyuma,Haemodialysis
Okulongoosa omusaayi n’akabubi k’omu lubuto,Continuous Ambulatory Peritoneal Dialysis
Olulibaliba,Peritoneum
Obutwa mu mubiri,Toxins
Okusimbuliza ekitundu ky’omubiri,Transplantation
Okusimbuliza omutima,Heart transplant
Okusimbuliza ensigo,Kidney transplant
Okumenyaamenya emmere,Metabolism
Ebiriisa kazimbamubiri,Proteins
Ebiriisa kawamaanyi,Carbohydrates
Katuggululabinywa,Creatine
Ebisigala bya kataggululabinywa,Creatinine
Ebipimo by’entujja y’omutima ogukuba ennyo,Systolic blood pressure readings
Ebipimo by’entujja y’omutima oguwummudde,Diastolic blood pressure readings
Entujja y’omutima esinga okuba waggulu,Systolic pressure
Entujja y’omutima esinga okuba wansi,Diastolic pressure
Katanywaddagala,Naturopathy
Kaanikandwadde,Homeopathy
Obusibage,Immune system
Kalwanyisandwadde,Immune system
engabo y’endwadde,Immune system
Kattabusibage,HIV
Kattabusibage, Human Immunodeficiency Virus
Kattabulumi,Endorphins
Eddagala kasirisabulumi,Analgesic
Obutalumwa,Analgesia
Amaaso okuyimbaala olwa kompyuta,Computer Vision syndrome
Eddookooli,Thyroid gland
Endwadde y’eddookooli,Goitre
Kazimbyaddookooli,Goitre
Endagabujjanjabi,Prescription
Ayodiini w’eddookooli,Radioiodine
Kkansa omusirikitu,Microcarcinomas
kookolo omusirikitu,Microcarcinomas
Kookolo omunene,Macrocarcinomas
Kkansa omunene,Macrocarcinomas
Yinsuliini,Insulin
Kizuuzi w’endwadde,Biopsy
Kawagamubiri w’eddookooli,Levothyroxine
Nnamusuna,German measles
Kawaali,Small pox
Olukusense,Measles
Omulangira,Measles
Amakebe,Sebaceous glands
Ekibondo kanyirizalususu,Sebaceous glands
Kyenvu w’eggi,Retinol
Ebiriisa bya vitamiini A,Retinoid
Okwokebwa abalongo,VITILIGO
Okwokebwa abalongo,Leucoderma
Kookolo w’olususu,Carcinoma
Endwadde y’ebipaapi,Eczema
Kabootongo,Syphillis
Katabuladdagala,Chemist
Omutabuzi w’eddagala,Chemist
Mukugu mu nkozesa y’eddagala,Pharmacist
Kagabaddagala,Dispenser
Puleesa eya waggulu,Hypertension
Amaaso okuyimbaala,Age related macular degeneration
Omukozi wa gaalubindi,Optician
Kakolagaalubindi,Optician
Firimu y’eriiso,Retina
Endabirabi y’amaaso,Macula
Endabiso y’amaaso,Macula
Akayuuya,Sickle
Omuyuuya ,Sickler
Olubuto okwesiba,Constipation
Okupiripiisa,Enema
Obulemu obuzaale,Congenital
Ebizimba ebirimu kawuuzi,Multiple Sclerosis
Obucuuzicuuzi bw’omubiri,Prostaglandins
Nnabaana,Uterus
Nnabaana okugwa,Uterine prolapsed
Ebisa,Uterine contractions
Nnakayaga,Tetrahydrocannabinol
Nnakayaga,THC
Kawunzabwongo,Psychotropic
Puleesa eya wansi,Hypotension
Katuggamisuwa,Serotonin
Katambuzabusimu,Neurotransmitter
Katababusimu,Synapse
Eddagala masanyu,Selective serotonin reuptake inhibitors
Ensaasaanya y’endwadde,Epidemiology
Ebinnyonnyola endwadde z’omu musaayi,Genomics
Ssaayansi w’enkula y’omutima,Cardiovascular genomics
Enkola y’obusimu,Neurochemistry
Okulwala obuko,Parkinson’s disease
Kawagabusimu,Dopamine
Kakerenda akazaale,Gene
Kakerenda kaava ku lubaya,Gene
Kootakoota ,Scoliosis
Amakiro,Eclampsia
Kattabwongo,Huntington’s Disease
Kakyusabutonde,Mutation
Kawuuzi mu kibumba,Cirrhosis
Empulirizo z’omutima,Cardiac sensors
kkansa w’omu musaayi,Leukemia
Kookolo w’omu musaayi,Leukemia
Okukozesa eddagala okujjanjaba kookolo,Chemotherapy
Akataffaali nnakizaalizi,Stem Cell
Kookolo w’amagumba,Lymphoblastic Leukaemia
Omulwadde abadde ku kitanda okusiibulwa mu ddwaaliro,Discharge
Olusirasira,Discharge
Oluzzizzi,Discharge
Obusomyo,Bone marrow
Okusirisa omuntu agenda okulongoosebwa,General anaethetic
Kawagamubiri ow’obunkenke,Cortisol
Ebibuno,Gums
Kalwanyamubiri,Cytokines
Okutomerwa endiga,Acquired Erectile dysfunction
okufa amaka,Acquired Erectile dysfunction
Omufiirwa,Natural erectile dysfunction
Kavunzabibuno,Periodontal Disease
Kaboola,Gingivitis
Kawangulamannyo,Periodontitis
