Luganda,English
Ennyingo ezimeketa,Arthritis
Ennyingo ez’akabuutu,Rheumatoid arthritis
Akamwa,Oral Cavity
Ebituli mu mannyo,Dental cavities
Entabiro y’akawanga n’ensingo,Craniocervical junction
Kannyogozandwadde,Cryotherapy
Ebinywa,Ligaments
Endwadde y’okugugumuka,Post-traumatic stress disorder
Eggumba ekkolerere,Bionic bone implant
Eggumba Magezigabaganda,Bionic bone implant
Omubiri omukolerere,Prosthesis
Omubiri Magezigabaganda,Prosthesis
Ennyingo eya ppata,Hinge joint
Okusimbuliza olususu,Skin graft
Eggumba nnakataba,Bone graft
Eggumba Magezigabaganda,Prosthetic bone
Eggumba ekkolere,Prosthetic bone
Eggumba ly’omukono erya waggulu,Humerus
Katuuka,Prostate
Entula z’abasajja,Testes
Ebibeere,Testes
Okwekebejja Akatuuka,Prostate biopsy
Obujjanjabi obwa kawunyira,Aromatherapy
Okutangaaza’ Ekisire y’ebitundu by’abasajja eby’ekyama,Transrectal Ultrasounds
Ekyebikiro ky’Akatuuka,Prostate Specific Antigen
Kookolo w’Akatuuka,Protate Cancer
Ebizimba mu ne ku nnabaana,Fibroids
Ekizimba ekirimu kawuuzi,Cystic Fibrosis
Kaabuvubuka,Puberty
Ensenke,Cataracts
Endwadde y’okuwuba,Autism
Omutima okwesiba,Cardiac arrest
Obusawo obwa kiyambi,Paramedics
Palamediki,Paramedics
Omusawo kiyambi,Paramedics
Okuzirika,Coma
Kkoma,Coma
Omusirisa w’abalwadde,Anesthesiologist
Ssaayansi w’okusirisa abalwadde,Clinical anesthesiology
Kattabulumi,Opioid Fentanyl
Okwekebejja emirambo,Autopsy
Obujjanjabi bw’omulongoose,Perioperative Medicine
Omukugu mu by’obutwa,Taxicologist
Ddoozi enzijuvu,Therapeutic dose
Obujjanjabi,Therapy
Obulwadde bw’omutima obuzaale,Congenital Heart Condition
Olususu lw’omu kamwa,Oral epithelium
Ebinnyo,Natal teeth
Amannyo agamera oluvannyuma lw’okuzaalibwa,Neonatal teeth
Embeera y’amannyo enzaale,Congenital teeth
Malibuttole omuzaale,Hypodontia
Amannyo agamerera mu lubuto,Foetal teeth
Amannyo amabereberye,Decidual teeth
Ekibebenu,Cartilage
Ennyingo,Joints
Ssaayansi w’obulamu,Biology
Bayologiya,Biology
Ssaayansi w’enkola,Physiology
Kayungirizi,Catalyst
Njolekaluse,DNA
Njolekabutonde,DNA
Ndagabutonde,DNA
Njolekaluse,Deoxyribose Nucleic Acids
Njolekabutonde,Deoxyribose Nucleic Acids
Ndagabutonde,Deoxyribose Nucleic Acids
Entonda y’ekintu,Anatomia
 Enkula y’ekintu,Anatomia
Eŋŋumbagumba,Skelton
Obuligirigi,Spinal processes
Enkizi,Spinal cord
Ebinywa,Tendon
Ligamenti,Ligament
Emisuwa katwalamusaayi,Veins
Omusuwa Kaggyamusaayi,Artery
Nkoto,Hind head
Nkoona,Occiput
Mpumi,Forehead
Lususu,Skin
Mugaba,Sretchmarks
Mugaba,strae
Emmembe,Eshcar
Olwala,Nail
Ebinyinyi,Eye discharge
Obukoowekoowe,Eyelashes
Ebisige,Eyebrows
Ekiwalaata,Bald head
Ebyenkwawa,Armpit hair
Akalevu,Chin
Ekirevu,Beard
Nnyindo,Nose
kalindaminyira,Nosal septum
Okutu,Ear
Akakongovule,Ankle
Vviivi,Knee
Olukokola,Elbow
Oluteega,Archilles tendon
Amalusu,Saliva
Okukontola,Click sound
Kawompo,Fontanelle
Kisinziiro,Heel
Nkwawa,Armpit
Okugwa emmeeme,Rectal prolapsed
Obwongo obulabika,Brain
Obwongo obutalabika,Intelligence
Amagezi,Intelligence
Omwoyo,Soul
Ekifuba,Chest
Kibegabega,Shoulder
Mumiro,Oesophogus
Kimiro,Trachea
Olubuto,Stomach
Ekibutobuto,Abdomen
Ekyenda ekinene,Large intestine
Ssebusa,Stomach
Ebyenda,Intestines
Kikulumu,Duodenum
Kataago,Spleen
Kabengo,Enlarged Spleen
Akawago,Urinary bladder
Akalulwe,Gallbladder
Ekkubo lya nakakaawa,Bile duct
Ennuuni,Pancreas
Ekisaanikira ky’akamiro akato,Epiglotis
Akabikka akamiro akato,Epiglotis
Kaloboozi,Voice box
Kaloboozi,vocal cords
Kaloboozi,Larynx
Obutaffaali,Cells
Oluzzizz,Lymph
Entuuyo,Sweat
Olutuuyotuuyo,Diaphoresis
Omuzigo kabirikaliiri,Sebum
Ekibondo,Gland
Ekibondo ky’oluzzizzi,Lymph
Ekibondo ky’amalusu ,Salivary glands
Ensigo,Kidney
Enkwaso,Sperms
Eggi,Ovule
Ekisu ky’eggi,Ovary
Ensongobe,Foetus
Ekitanyi,Placenta
Omwana ow’emabega,Placenta
omwana owookubiri,Placenta
Okuzaala,Delivery
Okwosera,The period between delivery and another conception
Obwannakawere,Puerperium
Ekirira,Umblical cord
Obwosi,Kwashiakor
Okuzzaako,Child spacing
Ekireego,Marasmus
Omusujja gw’ensiri,Malaria
Omusujja gw’omu byenda,Typhoid
Nnamusuna,Chicken pox
Bigenge,Leprosy
Kawaali,Small pox
Ekiddukano,Diarrhea
Wayirindi,Scabies
Lubyamira,Pneumonia
Ensenke,Cataract
Ejjanga,Teary eyes
Ndali,Strabismus
Mpujjo,Mild strabismus
Kawumpuli,Babonic plague
Nsimbu,Epilepsy
Ebigwo,Epilepsy
Okuzirika,Fainting
Okuzirika,Syncope
Biwalattaka,Acute
Biwalattaka,critical
Alusa,Peptic Ulcers
Ekikeeto,Heart burn
Oluyiro,Asthma
Ebbango,Hunchback
Ebbango,Kyphosis
Ettalo,Cellulitis
Ebizimba,Boils
Obugeregere,Tinea pedis
Obugeregere,Athletes foot
Ensalika,Foot Cracks
Akasekere,Stye
Ekigalanga,Fibroids
Okugulumba,Grumbling stomach
Ekibobe,Rhinolith
Kasikonda,Hiccups
Kinsimbye,Colic pain
Omutwe omuteezi,Migraine headache
Omutwe ogubobba,Tension headache
Omutwe ogumyansa,Cluster headache
Okwerumuka,Epistaxis
Amambulugga,Mumps
Ebiguuna,Tinea capitis
Oluumu,Tinea corporis
Ebisente,pityriasis
Ebisente,Tinea versicolor
Ebigalo,Onychomycosis
Enkovu,Scars
Olukindo,Incision site
Olukindo,previous scar
Empanama,Hydrocele
Tetenasi,Tetanus
Ekivundu,Odour
Okukogga,Weight loss
Okukenena,Extreme weight loss
Okukenena,emanciation
Okuwuukeera,Wheezing
Okuweekeera,Hyper ventilation
Okusikondoka,Chyne-stroke breathing
Okubaka omukka,Gasping
Okunanaagira,Stammering
Okunanaagira,Stuttering
Obulago okusaakaala,Hoarse voice
Akawoowo,Scent
Okujjanjaba,Treat
Okuvumula,Cure
Okuwonya,Cure
Okussuuka,Recover
Okubudaabuda,Rehabilitation
Okugema,Immunise
Okusibaga,Immunise
Okuziyiza,Prevent
Obusibage,Immunity
Obugeme,Immunity
Olususu lw’oku mutwe,Scalp
Enkwawa,Axilla
Enkwawa,armpit
Ekkundi,Umblicus
Akawago,Bladder
Ekkubo ly’omusulo,Urethra
Embalakaso n’embaasuulo,Groin
Embalakaso n’embaasuulo,Inguinal region
Ppata,Sphincter
Ekiwanga,Nasal cavity
Ekibuno ekya waggulu,Hard palate
Akabuno,Soft palate
Nnakamiro,Larynx
Akamiro akato,Trachea
Akabebenu,Diaphragm
Emmeeme ey’emabega,Rectal prolapse
Akabutobuto,Peritoneal cavity
Obutoffaali obumyufu,Red cells
Kasaayikamudaaki,Haemoglobin
Obutoffaali obulwanyi,White cells
Ebitundu by’omubiri,Organs
Ebitundu by’omubiri ebya ntabaluganda,System
Ebitundu ebissa,Respiratory System
Ebitundu ebikola ku musulo,Urinary system
Olususu olw’olunyiranyira,Mucosa
Omuwulenge,Duct
Obwongo,Brain
Olugongogongo,Backbone
Olugongogongo,Vertebral column
Olugongogongo,spine
Olubuno,Gums
Omufundo,Anus
Okumenyaamenya emmere,Digestion
Okugaaya,Digestion
Okumirungusa emmere,Absorption
Okupama,Excretion
Okufuluma,Excretion
Okukuba ppupu,Excretion
Ekisawo ky’abasajja,Scrotum
Ebyeru by’amaaso,Sclera
Oluzigaziga lw’okummunye,Conjuctiva
Olubuto olutuuse,Full term
Omwana atatuuse,Preterm
Omwana atatuuse,Premature
Obulemu,Deformity
Pooliyo,Polio
Ennyingo eyakakanyala,Contracture
Okugwirwa olumbe,Attack
Omulwadde,Patient
Obukosefu obwoleka obulwadde obulala,Symptoms
Obubonero bw’obulwadde,Signs
ESSUULA 2,CHAPTER 2
EBIKWATA KU KUKANIKA,TERMINOLOGIES FOR MECHANICS
KKALIYA,CARRIER
SITAADI,STAND
AMAYEMBE,HANDLE BARS
FULUWEERO,FREE WHEEL
NNAMUZIGA,FREE WHEEL
SSEBUNNYO,FREE WHEEL
EBISOTTA,PEDDLES
KWOTA PPINI,QUARTER PIN
EBIGERE,PEDAL HUB
MANDIGAADI,MUD GUARD
MUKWATABISOOTO,MUD GUARD
OBUKONO,DROP HANDLE BARS
OBUSAMBI,PEDAL CRANK ARM
OBUWANIRIZI,PEDAL CRANK ARM
EBIZIYIZA,BRAKES
KAKENDEEZAMISINDE,BRAKES
ENNANGA,DISC BRAKES
SSEZINNYO,DISC BRAKES
ETTAALA,HEAD LAMP
KKENGERE,BELL
EKIZOOSI,EXHAUST SYSTEM
KKENGERE,BICYCLE BELL
EGGABO,CHAIN STAYS
EBIZIYIZA,BRAKES
KAKNDEEZAMISINDE,BRAKES
KAFUGAMISINDE,SPEED GOVERNOR
KAKENDEEZAMISINDE,SPEED GOVERNOR
KASALAMISINDE,SPEED GOVERNOR
SSAKABUZOOBA,SHOCK ABSORBER
EKIZOOSI,EXAUST PIPE
OMUPIIRA,TYRE
SAYIDI MMIRA,SIDE MIROR
AKALABIRWAMU,SIDE MIROR
ETTAALA,LAMP
Eŋŋombe,CAR HORN
SITEERINGI,STEERING WHEEL
ENKATA,STEERING WHEEL
BBUUTU,BOOT
OBUSIIMUULA,WIPERS
BBULEEKI,HAND BRAKE
GGIYA,GEAR LEVER
EBIREVU,MUD GUARD
Sipanda,Spanner
Jeeke,Jake
Magalo,pilers
Sipeeya ttaya,Spare tyre
Ennyondo,Hammer
Omusumeeni,Seesaw
Ffuleemu Angle bars,Angle bars
Amasasi,Welding rods
Ensinjo,Chisel
Kaŋŋanka,Chisel
Obumooli obulongooseemu,Louvrers
Vayisi,Vice
Oluwawu,Sand paper
Ppata,Hinges
Enziga,Rollers
Ttooci,Torch
Ekyuma kya wolodingi,Welding machine
Kawagalo,Grinding machine
Envumbo,Body filler
Abooki b’ebyuma,Welders
Coal,Amatale
Smelting,Okufukuta
Olutabu,Iron ore
Olutabu,Smelted metal
Amasengere,Impurities from smelted metal
Ebisejja,Impurities from smelted metal
Akabiga,Smelting funnel
Ekyuma kya kkalwe,Steel
Ekikomo,Copper
Okugenekera,Collect smelted iron liquid
Omufukusi,Smelter
Omuvubo,Funnel
Lwera,Yellow spear
Namazzi,White spear
Ebinyolo Eŋŋango,Round pipe
Enkero,Mouth of fire funnel
Amayinja,Stones
Amayinja,Aggregates
Enkokoto,Concrete
Omusenyu,Sand
Seminti,Cement
Omusingi,Foundation
Obukondo,Profile
Nnakaweta,Square
Akaguwa,String
Emisumaali,Nails
Amatoffaali,Bricks
Bbulooka oba agataffaali,Blocks
Enkokoto,Blinding
Agayinja,Hard core
Lebeni,Spirit level
Bbirigi,Blumb bob
Ekipigiri,Compactor
Ekipigiri,Jumper
Ekipigiri,Roller
Ekipigiri,Rammer
Ddaamukoosi,Bitumen
Ddaamukoosi,Crude oil
Emitayimbwa,Iron bars
Bbiimu,Ring bim
Akasolya,Pitch
Payani,Hoop Iron
Omukomba,Rafter
Empagi,Column
Emikiikiro,Trancy
Omusekese gw’akasolya,Trancy
Omwiko,Trowel
Akasumeeni,Hand saw
Akasumeeni ak’omutego,Bow saw
Akasolya,Pitch
Bbiimu,Tie beem
Luwaga,Tie beem
Ebizingiriiti,Braces
Enzizi,Pallins
Emikiikiro,Pallins
Kimeeza,Club
Okutandaaza,Cementing
Ssemiwaatwa oba sseddugge,Round pipe
Engalama,Ceiling
Ebbunizo,Ceiling frame
Akatimba ak’engalama,Expanded wire mesh
Lebeni,Water level
Obugyo,Tiles
Obuyinja,Terazo
Ekipande,Wooden float
Ggudumala,Steel float
Amabaati,Iron sheets
Sitapuli,Staples
Enzigi,Doors
Amadirisa,Windows
Lukwata,Vice
Embaati,Mild steel plates
Obumooli obulongooseemu; Luuva,Louvrers
Abooki b’ebyuma,Welders
olubaliro,abacus
ekibinja ky’ekinnaAbel,abelian group
omuganziko,abscissa
geregere ; ggereggere,absolute
omuwendogano ggereggere,absolute coefficient
omusemberagano ggereggere,absolute convergence
omuwendo ggereggere,absolute value
ekilowoozo ekinokole,abstract thought
akasassa k’okwetuuma,accumulation point
yiika,acre
omuyiika,acreage
ensonda ensongovu,acute angle
okuggata,addition
okuggata kw’ebinnakkumi,addition of decimals
okuggata kw’emmenye,addition of fractions
omukolo omugassi,additive function
omugaliko omugassi,additive inverse
obutakoma,ad infinitum
liraanaganye,adjacent
engattiro,adjoint
okufuula kw’oluganda,affine transformation
alefu-zzeero,aleph – O
alefu – O ,aleph – O
aljebra,algebra
omukolo gw’ekyaljebra,algebraic function
ennamba y’ekyaljebra,algebraic number
ekitegeezo ky’ekyaljebra,algebraic statement
ekipande ky’omwekubiiro,alignment chart
ky’omutuukaganyo,alignment chart
ekitundu ekimenyeko,aliquot part
ekitobeko,alternant
ensonda entobeke,alternate angles
emikolo emitobeke,alternating functions
ennindi entobeke,alternating series
obugulumivu,altitude
ennamba nnamukwano,amicable numbers
oluta,amplitude
obuyunguluzi,analysis
kannabbanga omuyunguluzi,analytical geometry
obuyunguluzi bw’obwesulubabbi,analysis of variance
kompyuta y’obwefaanaanyirizi,analogue computer
omwefaanaanyirizo,analogy
kompyuta nnaminwe,digital computer
obusenserezi obuyunguluzi,analytic intimation
omukolo omuyunguluzi,analytic function
ensonda,angle
ensonda ku kasassa,angle at a point
olusalawabirye olw’ensonda,angle bisector
ensonda y’okukwatana,angle of contact
ensonda y’okuwunjuka,angle of deflection
ensonda y’obuyimufu,angle of departure
ensonda y’okuwaba,angle of deviation
ensonda y’obukuubi,angle of friction
ensonda y’okutomera,angle of incidence
ensonda y’okuwaba ssebutono,angle of minimum deviation
ensonda y’okuwunjukata,angle of reflection
ensonda y’okumenyekata,angle of refraction
ensonda y’okulaba,angle of view
ensonda ku layini,angles on a line
okwejjulula nnansonda,angular displacement
envuumulo nnansonda,angular momentum
ekizikiriza,annihilator
nnamuzisa,annihilator
ekisaazi,antecedent
ssaawakkonta,anti-clockwise
olugabirokkonta,antilogarithm
luleegakkonta,anti-parallel
okuddamu,answer
obusassa nnabigerekkonta,antipodal points
pimaganyikkonta nnawabirye,antisymmetric dyadic
omukolo omupimaganyikkonta,antisymmetric function
enkulungo ya Apollonius,Apollonius circle
ekikakase kya Apollonius,Apollonius theorem
kannakubala kkozesa,applied mathematics
okugattirira okusemberezi,approximate integration
okusembereza,approximation
ennamba y’Ekiwalabu,Arabic number
olutego,arc
arc cosh x,arc cosh x
arc cos x,arc cos x
arc sinh x,arc sinh x
arc sin x,arc sin x
arc tanh x,arc tanh x
arc tan x,arc tan x
arch,arch
olukata lw’Archimedes,Archimedes spiral
olubangirizi,area
empima y’olubangirizi,area measurement
olubangirizi lwa nsondantuufu,area of a rectangle
olubangirizi lwa nsondassatu,area of a triangle
eminwe gy’olubangirizi,area units
olulyebulo lwa Argand,Argand diagram
empakano,argument
kannambala,arithmetic
olulindi lw’ekinnambala,arithmetical progress
olweyongerero lw’ekinnambala,arithmetic continuum
nnakati w’ekinnambala,arithmetic mean
ekikozi ekinnambala,arithmetic operator
ekyejjululo ekinnambala,arithmetic shift
"entegeko , entegeka",arrangement
olusengeko,array
okukwasa,assign
okunywanyiwaza,associate
nywanyiwazi,associative
emmunyeenyewevu,astroid
kapimammunyeenye,astrometry
nsondassatu ey’ekinnammunyeenye,astronomical triangle
okuvubiikiriza,attenuation
emize,attributes
olunneekuza,automorphism
enkulungo ennyambi,auxiliary circle
nnakkati,average
omweweto nnakkati,average curvature
embiro nnakkati,average speed
enebongero,axes
nnalwetooloolero,axial
ekisabo,axiom
olwebongero,axis
olwebongero oluganzike,"axis , horizontal"
olwebongero lw’obupimaganyi,axis of symmetry
olwebongero olusimbe,axis 
olwebongero olusimbe,vertical
azimuthi,azimuth
ensonda ya azimuthi,azimuth angle
eminzaani,balance
amayinja ga minzaani,balance weights
olugooti,bar
lugooti ekipande,bar chart
lugooti olukusiko,bar code
lugooti olulojjo,bar graph
omusingi,base
ensonda y’omusingi,base angle
olubangirizi lw’omusingi,base area
layini y’omusingi,baseline
omunwe gw’okumusingi,base unit
ekikongozzi ky’okumusingi,base vector
omusingi,basis
okwekebejja ekikuulo,batch processing
akinnaBayes,Bayesian
bel,bel
akasassa k’ekipimansonda,benchmark
enkyenkano kya Bernoulli,Bernoulli’s equation
ennamba za Bernoulli,Bernoulli’s numbers
wabimiimobingi wa Bernoulli,Bernoulli’s polynomials
ebikakase bya Bernoulli,Bernoulli’s theorems
emikolo gya Bessel,Bessel functions
ekyenkano nnamwawulo kya Bessel,Bessel’s differential equation 
omukolo – beta,Beta function
tobekabbirye,Bialternant
ekifuuko nnalayinibbirye,Bilinear transformation
wabbirye,binary
kannambala wabbirye,binary arithmetic
olukusiko wabbirye,binary code
ekinnakkumi ekikusike wabbirye,binary coded decimal (BCD) 
omunwe wabbirye,binary digit
akasassa wabbirye,binary point
olupimiro wabbirye,binary scale
ekikakase kya Binet-Cauchy,Binet-Cauchy theorem
nnabimiimobbirye,binomial
omuwendogano nnabimiimobbirye,binomial coefficient
obutalaavu nnabimiimobbirye,binomial distribution
ekikakase nnabimiimobbirye,binomial theorem
esimbubbirye,binormal
emisassawanyo nnampagibbirye,bipolar coordinates
olusalabbirye,bisector
akaloddo akaminzaaniwaza,bob-weight
B1 AG1 B2 G2 T,BODMAS
akasassa k’okwesera,boiling point
akinnaBoole,Boolean
aljebra w’ekinnaBoolean,Boolean algebra
omukolo omukomere,bounded function
omukunng’aanyo gw’ennamba omukomere,bounded set (of numbers)
omukonng’aanyo gw’obusassa omukomere,bounded set (of points)
ebikomero by’omukolo,bounds of a function
ekikongozzi ekikomere,bound vector
akakomera,bracket
akasassa k’ettabi,branch point
ettabi ly’omukolo,branch of a function
engabiro za Brigg,Brigg’s logarithms
ettabi ly’oluweto,branch of a curve
obugazi,breadth
akasassa k’okukutuka,breakpoint
ekikakase kya Brianchon,Brianchon’s theorem
kalonda w’Olugerero lw’Ekibuliitishi,British Standard Specification =
ebbeeyi egulirwako,buying price
omuguliro,buying rate
obuwanvu bw’omuguwa,cable length
okubala,calculate
kannampiki nnamwawulo,"calculus , differential"
kannampiki nnamugattiriro,"calculus , integral"
omwezi ku kalenda,calendar month
omwaka ku kalenda,calendar year
kkalipa,calipers
kalori,calorie
kapimakalori,calorimetry
okusazaamu,cancellation
omuwaniriro,capacity
ennamba ssenkulu,cardinal number
olutimawivu,cardioid
okutwala,carry
enfowano z’ekinnaCartesius,Cartesian coordinates
ezigiwivu z’ekinnaCartesius,Cartesian ovals
ezigiwivu za Cassini,Cassini’s ovals
omutetenkanyirizo gw’obucwano,catastrophe theory
ekiti,category
ettuluba,category
olunnalujegere,catenary
olujegerewevu,catenoid
ebyenkano bya Cauchy-Riemann,Cauchy – Riemann Equations 
ebigezeso bya Cauchy Eby’okusangagana,Cauchy’s convergence tests
ekisumulozo kya Cauchy Eky’obusaasaano,Cauchy’s dispersion formula 
obutalaavu bwa Cauchy,Cauchy’s distribution
omugoberero gwa Cauchy,Cauchy’s sequence
ekisumuluzo kya Cauchy,Cauchy’s integral formula
ekikakase kya Cauchy,Cauchy’s theorem
oluweto olubambula,caustic curve
akabondo,cell
olupimiro lwa Celsius,Celsius scale
olupimiro lwa Celsius,centigrade scale
ensonda ku ntabiro,central angle
olusawuko olw’ekinnantabiro,central projection
entabiro,centre
entabiro y’obuwete,centre of curvature
entabiro y’omusikirizo,centre of gravity
entabiro y’okugalika,centre of inversion
entabiro y’obupimaganyi,centre of symmetry
olujegere,chain
olukusiko lw’olujegere,chain code
olulobo,chance
oluweto lw’olulango,characteristic curve
ekyenkano ky’olulango eky’endoko,characteristic equation of a matrix
ekyenkano ky’olulango eky’ekyenkano nnamwawulo ekya bulijjo,characteristic equation of an ordinary differential equation 
ekyenkano ekiyambi,auxiliary equation
omukolo gw’olulango ogw’womukunng’aanyo,characteristic function of a set
olulango ow’olugabiro,characteristic of a logarithm
obusassa bw’olulango,characteristic points
nnabimiimobingi ey’olulango,characteristic polynomial
obwomukono,chirality
obubonero bwa Christoffel,Christoffel symbols
enkulungo,circle
enkulungo y’obweyunizi,circle of convergence
enkulungo y’obweweto,circle of curvature
enkulungo y’obwegalisi,circle of inversion
olulojjo lw’enkulungo,circle graph
enneekulunzi,circulant
enkuyo nnankulungo,circular cone
omugala nnankulungo,circular frame
emikolo nnankulungo,circular functions
ekipimo nnankulungo,circular measure
olutegeko nnankulungo,circular permutation
akasassa nnankulungo ku lunnakungulu,circular point on a surface
okwekulunga,circulation
omulambirizo nnankulungulo,circulatory integral
entabirobbuga eya nsondassatu,circumcentre of a triangle
enkulungobbuga,circumcircle
oluzingo,circumference
enkulungobbuga,circumscribed circle
olulemuwuvu,cissoid
cis x,cis x
essaawa,clock
kannambala w’essaawa,clock arithmetic
omukyuko nnassaawa,clock rate
olwenyi nnassaawa,clock face
ssaawaggoberera,clockwise
enkyenkanowofu ekiggale,closed inequality
omukunng’aanyo omuggale,closed set
akabagulizo,clue
ekirimba,cluster
obuyunguluzi bw’ebirimba,cluster analysis
enkulungo nnalwebongerowanwa,coaxial circles
omuwendowano,coefficient
omuwendowano gw’enkyuka,coefficient of variation
omubazewano,cofactor
emimwe egikwatagana,coherent units
ensonda z’omundawano,co-interior angles
okufuula nnalayini kw’endoko,collinear transformation of a matrix
ebikongozzi nnalayini,collinear vectors
okunnnalayiniwaza,collineation
omuko,column
olulojjo lw’omuko,column graph
engatto,combinations
ekikolwa ekigatte,combined operation
obungi obupimaganika,commensurable quantities
omungiwaze gwa lukale,common multiple
ennamba ya lukale,common number
waanyisaganyi,commutative
ekiwaanyisaganyi,commutator
ebbanga erigumivu,compact space
ekipimabwolekero,compass
ebyenkano ebigendana/ebibakana,compatible equations
ensonda ezimalayo,complementary angles
omukolo ogumalayo,complementary function
okumalayo,complementation
ekimalayo ky’omukunng’aanyo,complement of a set
omwawulo omujjuvu,complete differential
omulambiriro omujjuvu,complete integral/primitive
ebbanga nnametro erijjuvu,complete metric space
ennamba enzigumivu,complex number
ekitundu ky’ekikongozzi,component of a vector
ennamba engattirire,composite number
okubalika,computability
okubala,compute
kompyuta,computer
kannakompyuta,computer science
olukovuwivu,conchoid
olulindi olweyunizi nnakakwakulizo,conditional convergent series 
obwandiba nnakakwakulizo,conditional probability
enkuyo,cone
ebinnankuyo ebikyotowanyi,confocal conics
ebinnakabirye ebikyotowanyi,confocal quadrics
okufuula nnakikulawano nnabuko,conformal-conjugate transformation
okufuula nnakikulawano,conformal transformation
okukkiriziganya,congruence
okukkiriziganya,congruency
kiriziganyi,congruent
okufuula okukiriziganyi,congruent transformation
ekinnankuyo,conic
nnankuyo,conic
olunnakungulu nnankuyo,conical surface
ennamba ez’ekyaljebra,conjugate algebraic numbers 
ensonda nnabuko,conjugate angles
entego nnabuko,conjugate arcs
olwebongero nnabuko olw’olukasukojja,conjugate axis of hyperbola
empeto za Bertrand nnabuko,conjugate Bertrand curves
ennamba nnabuzibu nnabuko,conjugate complex number
ensalannakkati nnabuko,conjugate diameters
obwolekere nnabuko,conjugate directions
ziwabbiri nnabuko,conjugate dyadics
elementi nnabuko ez’ekibinja,conjugate elements of group
emikolo nnabuko,conjugate functions
emikolo emitabaganyi nnabuko,conjugate harmonic functions 
endoko nnabuko,conjugate matrix
obusassa nnabuko,conjugate points
ekibinjakka nnabuko,conjugate subgroup
omuyungo nnabuko ogw’empeto,conjugate system of curves
nsondassatu nnabuko,conjugate triangle
omuka omugatte,connected domain
ennamba empondezi,consecutive number
ekiwondezi,consequent
ebyenkano ebikwatagana,consistent equations
ekitakyuka,constant
ekitakyuka ky’okulambiriza,constant of integration
ekitakyuka ky’okugalika,constant of inversion
ekizimba,constituent
okuzimba,construct
emmenyefu y’olutata,continued fraction
alutata,continuous
olutata,continuum
okukyusa,convert
okukyusa,conversion
ennambiriro y’okukulungulu,convolution integral
enebongero ensassawanye,coordinate axes
ensassawanyo,coordinates
olulata lwa Cornu,Cornu’s spiral
olugandawano,correlation
ensonda ezikiriziganya,corresponding angles
kosini,cosine
kosekati,cosecant
omukunng’aanyowano,coset
cosh,cosh
coth,coth
omukunng’aanyo ogubalika,countable set
ennamba ebala,counting number
olumagga olubala,counting interval
ekisobezi ky’ennambannali,cross-number puzzle
omubazonnali ogw’ekikongozzi,cross-product of a vector
omugabironnali,cross-ratio
ekisalonnali,cross-section
nnakisalonnali,cross-sectional
wabusassabubiri,crunode
ssemulabba,cube
ekyenkano nnassemulabba,cubic equation
ssemulabbawivu,cuboid
omusadde,curl
wansimbi,currency
enkulungowevu ennyimpaye,curtate cycloid
nnamuzigawivu ennyimpaye,curtate trochoid
obuweto,curvature
oluweto,curve
oluluubiriro nnalayinimpete,curvilinear asymptote
ensassawanyo nnalayinimpete,curvilinear coordinates
akafumisi,cusp
enkulungo,cycle
ekibinja nnankulungo,cyclic group
nsondassatu nnankulungo,cyclic quadrilateral
enkulungowevu,cycloid
silinda,cylinder
ensassawanyo nnasilinda,cylindrical coordinates
ekigezeso nnamugabiro ekya d’Alembert,d’Alembert’s ratio test
ebiwe,data
bbanka y’ebiwe,data bank
omusingi gw’ebiwe,data base
okukunng’aanya kw’ebiwe,data collection
omugeegeeenyo gw’ebiwe,data model
okuteekateeka kw’ebiwe,data preparation
okwekebejja kw’ebiwe,data processing
okukuuma kw’ebiwe,data protection
okusimbawo kw’ebiwe,data representation
okukomyawo kw’ebiwe,data retrieval
okutereka kw’ebiwe,data storage
ekinnakkumi,decimal
emmemyefu y’ekinnakkumi,decimal fraction
ekifo ekinnakkumi,decimal place
omuyungo gw’ekinnakkumi,decimal system
ekisalo kya Dedekind,Dedekind act
ekyenkano ekiyabayaba,defective equation
obuyabayaba,deficiency
omugattiriro omusonjofu,definite integral
okulemala,deformation
omulemalo,deformation ratio
digri,degree
omuliraano omusangule,deleted neighbourhood
omuyungo gw’ennamba nnamugabizi,denominational number system 
omugabizi,denominator
omukunng’aanyo omukwafu,dense set
omunkunng’aanyo ogubalika,denumerable set
