Luganda,English
emikolo emyesigami,dependent functions
ekikyuka ekyesigami,dependent variable
ekiviiseemu,derivative
omukolo omuviise,derived function
ebifugabubonero ebya Descartes,Descartes’ rules of signs
okubaga,design
emmiimuula,determinant
olunnakungulu olutandululika,developable surface
"okuwaba, obuwabi",deviation
olugattansonda,diagonal
endoko y’olugattansonda,diagonal matrix
olulyebulo,diagram
olusalannakkati,diameter
enjawulo,difference
ebikozi nnanjawulo,difference operator
enjawulo z’emikunng’aanyo,difference of sets
omukolo gw’ekikyuka ekiggumivu ogwawulikika,differentiable function of a complex variable
nnamwawulo,differential
kannampiki nnamwawulo,differential calculus
omuwendowano nnamwawulo,differential coefficient
ekyenkano nnamwawulo,differential equation
okwawula,differentiation
omunwe,digit
nnaminwe,digital
kompyuta nnaminwe,digital computer
nnannyenyibbirye,dihedral
ebyenkano ebinnaDiophantos,diophantine equations
obwolekero,direction
ensonda z’obwolekero,direction angles
ebitundu by’obwolekero,direction components
kosini z’obwolekero,direction cosines
ennamba z’obwolekero,direction numbers
obwolekero bw’oluweto,direction of a curve
emigabiro gy’obwolekero,direction ratios
enkulungo y’ekyolekeza,director circle
omukunng’aanyo omukutulekutule,disconnected set
obukutulekutule,discontinuity
ekisosola,discriminant
emikunng’aanyo emigattulule,disjoint sets
obwesuulo,distance
obutalaavu,distribution
talaazi,distributive
obwakanyi bw’ekikongozzi,divergence of a vector
okugabirika,divisibility
okugabira,division
empeta y’okugabira,division ring
egabira,divisor
oluwenda-D,D method 
nsondakkuminabbiri,dodecagon
nnyenyikkuminabbiri,dodecahedron
omuka,domain
ekiyeeyo ky’obutonnyeze,dot pattern
omulambiriro wabbirye,double integral
akasassa wabbirye,double point
olulindi wabbirye,double series
kannabwejjuluzi,dynamics
ensonda nnakkatiwufu,eccentric angle
obunnakkatiwufu,eccentricity
elementi,elements
akasassa nnannyongo ku lunnakungulu,elliptical point on a surface
emikolo nnannyongo,elliptic functions
kannabbanga nnannyongo,elliptic geometry
omulambirizo nnannyongo,elliptic integral
omukunng’aanyo omwereere,empty set
ebbasa,envelop
olumagga olwenkana,equal interval
omukunng’aanyo ogwenkana,equal set
ekyenkano,equation
olukata olusondankanyi,equiangular spiral
nsondassatu engulunkanyi,equilateral triangle
oluganda oluwendonkanyi,equivalence relation
emmenyefu empendonkanyi,equivalent fraction
enkulungo empandukule eya nsondassatu,escribed circle of a triangle
okuteebereza,estimate
kannabbanga w’ekinnaEuclid,Euclidean geometry
ensonda z’ekinnaEuler,Eulerian angles
ekikakase kya Euler,Euler’s theorem
okuwendowola,evaluate
ennamba entereevu,even number
olususumbule,evolute
obwesusumbuzi,evolution
ekyenkano ekituukirizi,exact equation
ekikula ekigaziye,expanded form
nnabuyinza,exponent
omukolo nnabuyinza,exponential function
ensonda nnabweru eya nsondassatu,exterior angle of a triangle
ekyenyi,face
olwenyi ,face
ennyenyi,faces
omubaze ; fakta,factor
kinnafakta,factorial
okufaktawaza,factorisation
omuti gw’omubaza,factor tree
ekikakasa kya Fermat ekisembayo,Fermat’s last theorem
ekisawe,field
omukyukiro,flux
akooto,focus
olupimiro oluwumbe,folded scale
olulagala lwa Descartes,folium of Descartes
ekisumuluzo,formula
obuyunguluzi bwa Fourier,Fourier analysis
"olulindi nnamutwalennusu, lwa Fourier",Fourier half-range series
olulindi lwa Fourier,Fourier series
ekifuulo kya Fourier,Fourier transformation
omunnanfuusi,fractal
emmenyefu,fraction
ekisumuluzo kya Frenet,Frenet’s formula
omweso gw’omuddirinng’ano,frequency table
obutalavu bw’omuddirinng’ano,frequency distribution
akasassa k’okukwata,freezing point
ennamba nnamukwano,friendly numbers
omukolo,function
funkta,functor
tensa nnametro nnamusingi,fundamental metric tensor
ekikakase nnamusingi eky’aljebra,fundamental theorem of algebra
ekikakase nnamusingi eky’aljebra,fundamental theorem of arithmetic
omukolo gamma,gamma function
omuwaatwa,gap
ekigezeso kya Gauss nnabusangaganyi,Gauss’ convergence test
obuweto bw’ekinnaGauss,Gaussian curvature
ekikakase kya Gauss,Gauss’ theorem
omulambiriro ttwalirawamu,general integral
ekimerengulo ttwalirawamu,general solution
omukolo oguzaala,generating function
ekizaazi,generator
ssemitego,geodesic
mailo ey’ekirojjansi,geographical mile
kannabbanga,geometry
nnakkati w’ekinnabbanga,geometric mean
akayiringito,glissette
olulazi,gnomon
nnakitiiriitu kkumi,googol
omwesuliko,gradient
ekipimamwesuliko,gradiometer
enkulungo engereke,graduated circle
olulojjo,graph
ebinnakirojjo,graphics
enkulungo ennene,great circle
ekikakase kya Green,Green’s theorem
ekisumuluzo kya Gregory,Gregory formula
ekibinja,group
omunnaGudderman,Guddermamian gyration
etabaganya nnabuko,harmonic conjugate
omukolo ogutabaganya,harmonic function
zinnakkati ezitabaganya,harmonic means
olulindi olutabaganya,harmonic progress
omugabiro ogutabaganya,harmonic ratio
ebbanga lya Hausdorff,Hausdorff space
ekyokubiri kya sin ensagaasaganye,haversine
olusonsowevu,helicoid
olusonko,helix
ssenkulungonnusu,hemisphere
ekinnaHesse,hessian
nsondamukaaga,hexagon
olulojjolugooti oluggumivu,histogram
ekyenkanowofu kya Holder,Holder’s inequality
omukolo nnalamba,holomorphic function
nnakikulawivu,homeomorphic
ensasassawanye nnakikulawivu,homogeneous co-ordinates
omukolo nnakikalawivu,homogeneous function
okumaapuwaza nnakifowovu,homology group
okumaapuwaza nnakifowovu,homotopic mapping
omukol nnalisawukajja,hyperbolic function
kannabbunga nnalisawukajja,hyperbolic geometry
olusawukossegerawivu nnalusawukojja,hyperbolic paraboloid
akasassa nnalusawukojja ku lunnakungulu,hyperbolic point on a surface 
olusawukojjawivu,hyperboloid
enkulungowevukka,hypocycloid
enkulungowevukkako,hypocycloid
omuwakano,argument
ekitwale,assumption
ekisabo,postulate
ekisabo,axiom
ssetteebelezo,conjecture
yeeyikkonta,contrapositive
enkakase ffuulannenge,converse
enkakasegonga,corollary
ekikontano,counter-example
enkakasa nnateleela,direct proof
ekiguumaazo,fallacy
ekiteeko,thesis 
wapiteeko ,hypothesis
enkakasa nnakkoolooba,indirect proof
enkakasewansa,lemma
kannansonga,logic
embeela eyeetaagisa,necessary condition
ekikkilizolaana,paradox
ekitume,premise
ekikakaso,proof
enkakasa,proof
okukakasa,proof
enkakasa nnakkoolooba,proof by contradiction
enkakasa nnaggweelela,proof by exhaustion
enkakasa nnassendassenda,proof by induction
enkakasa nnakkoolooba,reductio ad absurdum
ekyokukakasibwa,statement
ekitegeezo,proposition 
 amakomagano,bounds
 okukyusa omulamwa,changing the subject
 ettwalagane,codomain
 ekituukilizagano,coefficient
 ekyenkano kinnambeela,conditional equation
 ekitakyuka,constant
 ekimiimo ekitakyuka,constant term
 enneekobaana ku nnukuta,convention for letters
 digri y’ekimiimo,degree of a term
 digri y’ekinyigabwalo,degree of an expression
 ekikyuka ekitetengeledde,dependent variable
 ebyenkano ebinnaDiofantus,Diophantine equations
 ettwale,domain
 okweggyako,elimination
 ekyenkano,equation
 okuwanvuya,expansion
 omukolo omuteleevu,explicit function
 ekinyigabwalo,expression
 emibazisaganyo,factors
 ekilyebulo kkulukusa,flow diagram
 enkukulilo,formula
 omukolo,function
 ekilyebulo kkulukusa,flow diagram
 ekilyebulo kkulukusa,function machine 
 ekyenkanokano,identity
 omukolo omulandazzi,implicit function
 ebyenkano ebyetengeledde,independent equations
 ekikyuka ekyetengeledde,independent variable
 ebyenkano ebitakomelezekeka,indeterminate equations
 omukolo omugalike,inverse function
 ebimiimo ebyenkanankana,like terms
 ekyenkano ekinnalaini,linear equation
 ekinyigabwalo kinnanukuta,literal expression
" okuteeba, enteeba",mapping
 ekilyebulo ky’ebiteebo,mapping diagram
 embaza ensuye,nested multiplication
 ekinyigabwalo ekinnabitundubingye,polynomial expression
 ekyenkano ekibiliguze,quadratic equation
 olutuukilo,range
 ekikyuka ekyaddala,real variable
zzika ku,reducible
 omulandila,root
 okumatiza,satisfy
 okugonza,simplify
 ebyenkano ebiseelankanyi,simultaneous equations
 ekimelengulo,solution
 okusikiza,substitution
 ekimiimo,term
 okuseetula,transpose
 emmelengula eteebeleza,trial and error
 emmelengula eteebeleza,trial and improvement
nnabitundubisatwe,trinomial
 ekimelengulo eky’okubalaata,trivial solution
embeela emmala,sufficient condition
akabonelo akeelondele,symbol
enkakase,theorem
enkakasa nnaddyebula,visual proof
enkakasa nnaddyebula,‶look - see″ proof
P kizingwa Q,P → Q
"singa P, olwo Q","if P, then Q"
P mbeela emmala okuba kwa Q,P is a sufficient condition for Q
Q kizinga P,P ← Q
P kizingwa Q,P ← Q
P mbeela eyeetaagisa okuba kwa Q,P is necessary condition for Q
"singa Q, olwo P","if Q, then P"
P singa ela kyokka singa Q,P ↔ Q
P singa ela kyokka singa Q,P if and only if Q
P ses Q,P iff Q
okunambabwala,to enumerate a set
ekibinja,to enumerate a set
ekibinjamala,complement of a set
ekinambabwalika,denumerable set
ekibinja,denumerable set
ebibinjawakuta,disjoint sets
ekinnakibinja,element
mmemba,member
ekibinja ekyeleele,empty set
ebibinja ebiwendonkanyi,equivalent sets
ekibinja ekibalika,finite set
ekibinja ekitabalika,infinite set
ekibinjawakata,intersection of two or more sets
ekinnakibinja,member of a set
ekibinja ekyeleele,null set
ekibinja ekyeleele,empty set
mmemba,member of a set
ekibinjawansayina,proper subset
kannabibinja,set theory
omuteebelezo gw’ebibinja,set theory
ekibinja,set
ekibinjawansa,subset
ekibinjawagwa,superset
enjawulo empimaganyi,symmetric difference of two sets
ekimuyo,union of two or more sets
ekibinjayanna,universe
ekibinjayanna,universal set
ebikobwayima ebinnaVenni,Venn diagrams
gatta,add
toolako,minus
toolako,subtract
zuula enjawulo ya ggeleggele,find the absolute difference o
emilundi,times
yingiyisisa ne,multiplied by
gabiddwamu,divided by
gatta oba toolako,add or subtract
enkana,equals
enkana,is equal to
kumpi enkana,is approximately equal to
wendonkana,is equivalent to
wendonkana,has the same value as
tono okusinga,is less than
tono okusinga oba enkana,is less than or equal to
nene okusinga,is greater than
kyuka nga,varies as
gendana ne,is proportional to
pointi,point
pointi,decimal point
komma,comma
nnakikumi,per cent
nnakikumi,out of a hundred
nnalukumi,per mil
nnalukumi,out of a thousand
ennambilila ennenejja etasinga,the largest whole number which is not greater than
ennambilila ennenejja etasinga x,the largest whole number which is not greater than x
omuwendo gwa x ggeleggele,absolute value of x
x eksabiliguze,x squared
x eksabiliguze,x multiplied by itself
x eksasatuguze,x cubed
embiligaze ya x,the square root of x
ensatugaze ya x,the cube root of x
ensonda,angle
lalalaana,is parallel to
simbe ku,is perpendicular to
digri,degree
eddakiika,minute
akatikitiki,second
x nnankozi,factorial x
x eksa nnankozi,factorial x
kibinjawansa kya,is a subset of
zingilamu,includes
kibinjawagwa kya,is a super-set of
ekimuyo kya,union of
ekibinjawakata kya,intersection of
ekibinja ekyeleele,null 
obukubokwafu nnalugelelo,standard deviation
zingwa,implies
zinga,is implied by
zingwa ela zinga,implies and is implied by
noolwekyo,therefore
entakoma,infinity
omukolo gwa,a function of
ennamba enkumikaaga egobelela,hexadecimal number follows
obukomela obukulungilivu,round brackets
obukomela nnamraba,square brackets
obukomela nnamasadde,curly brackets
obukomela nnansonda,angle brackets
Ennamba enkaali,Complex Numbers
Ennamba ezaddala,Real Numbers
Ennamba ensongana,Rational Numbers
Ennamba ensonganuna,Irrational Numbers
Ennamba ennambilila,Integers
Ennamba enneddayi,Negative numbers
Zeelo,Zero
Ennamba zinnabutonde,Natural Numbers
Ennamba zissenkulu,Prime numbers
Ekifundiwazo,acronym
ekigambo ekyatulwa mu bufunze bw’ensirifu,initialized word spoken out as a full word
Okufundiwaza,acronymizing
Ekyongezamasoboza ga Kitangaala,Light Amplification by Stimulated Emission of Radiation
EKYOKI,LASER
bbomu egoberera amasoboza g’ekitangaala,Laser-guided bomb
Bbomu y’ekyoki,Laser-guided bomb
Amasoboza,energy
Ekyongezamasoboza,amplification
ekitangaala,light 
okwongeza enfulumya y’emigendo gy’olubugumu,stimulated emission of radiation
Ekiketto eky’Amayengo ga Leediyo,Radio Detection and Ranging
EKIKENGO,RADAR
amayengo ga lediyo,radio waves
amaddannyuma,reflected echoes
Nambuluzo Eyawamu Esingayo,Greatest Common Factor
Enkubise Eyawamu Esembayo,Lowest Common Multiple
Empalirizo,Force
Okuva,Motion
empalirizo z’obutonde,forces of nature
okuva mu kifo,to move from one position
okuva mu kifo,to move from one place 
Amateeka ga Newton ag’Okuva,Newton’s Laws of Motion
Akaziba,Atom
Obuziba,Atoms
atomu,Atom
Obuziizi,nucleus
nnyukiriyaasi,nucleus
Obutonniinya,subatomic particles
nampa,neutron
obukonta,protons
Obutinniinya,elementary particles
obusannyalazo,electrons
obukwaaki,quarks
obutaffaali,cells
Obusannyalazo,Electrons
amasannyalaze,electricity
Obusannyalazo,electrons
omugendo gw’obusannyalazo,the flow of electrons
Ekisannyalazo,electrical charge
kyaagi,a charge
Obusirikitu,all microscopic particles
Obusirikitu,microscopic organisms
Essomabibuuka,Aeronautics
Essomabuzaale,Genetics
Essomansi,Geography
Esomanjazi,Geology
Essomabutonde,Science of Nature
Essomabutonde,Physics
Essomabuzimbe,Chemistry
Essomabiramu,Biology
Essomabutonzi,Divinity
Essomabinyunyunsi,Parasitology
Essomaddagala,Medicine
Essomabuyambi,Nursing
Essomabiwuka ebireetendwadde,Entomology
Essomampimo,the study of dimensions
Essomampimo,Geometry
Essomankula,Geometry
Essomankula,the study of mathematical shapes
Essomampuyisatu,Trigonometry
Esomanjazi,Geology
Essomabutonde,Science of Nature
Essomabuzimbe,Physics
Ebyobuziba,Science of atomic structure
Ebyobuziba,Chemistry
Essomabuziba,Chemistry
Essomabuziba,Science of atomic structure
Essomampuyisatu,Trigonometry
Essomabiramu,Biology
Essomabutonzi,Divinity
Essomabinyunyunsi,Parasitology
Essomaddagala,Medicine
Essomabuyambi,Nursing
Essomabikuyege,Acarology
Essomalubugumu,Actinibilology
Essomakitangamiko,Actinology
Essomabupempewo,Aerobiology
Essomannampewo,Aerology
Essomabulimiro,Agrology
Essomattakalikuza,Agrobiology
Essomansibukoyandwadde,Aetiology
Essomamiddo,Agrostology
Essamaliga,Algology
Ekifukuuko,allergy
Essomakifuukuuko,Allergologi
Essomakisajjalaato,Andrology
Essomakisiriso,Anesthesiology
Essomansolomuntu,Anthropology
Essomanjuki,Apiology
Essomanabbubi,Arachnology
Essomabedda,Archaeology
Essomansonamuntu,Archaeozoology
Essomankusa,Areology
Essomansibukobira,Astrobiology
Essomabyazibyasenge,Astrogeology
Essomalira,Audiology
Essomabusango,Autecology
Essomo lya bbakitiiriya,the study of bacteria
Essobbakitiriya,Bacteriology
Essomabuwangaaliro bwa biramu,Bioecology
Essomabulamu,Biology
Essomabiramu,Biology
Essomabuzimbe,Physics
Essomabutonde,Physics
Essomabuziba/Ebyobuziba,Chemistry
Essomabyankatika,Bromatology
Essomabutima,Cardiology
Essomabutaffaali,Cariology
Essomabiseera,Climatology
Essomabudde,Meteolology
Essomabisonko,Conchology
Essomalufumpewo,Coniology
Essomabuwanga,Craniology
Essomamisango,Criminology
Essomatempuwa,Cryology
Essomambwa,Cynology
Essomabutaffaali,Cytology
Essomabuziffaali,Cytomorphology
Essomandwali,Cytopathology
Essomyamiti,Dendrochronology
Essomatti,Dendrology
Essomansu,Dermatology
Essomaliga,Desmology
Essomabiswera,Dipterology
Essomabiramazzi,Ecohydrology
Essomabusannyalavu,Electrophysiology
Essomakiwakufu,Embryology
Essomabikemuluzi,Endocrinology
Essomenzayimu,Enzymology
Essomansibikondwa,Epidemiology
Esomabyana,Fetology
Essomakapa,Felinology
Essomabyazira,Exogeology
Essomabyengula,Exobiology
Essomabwansolo,Ethology
Essomanswa,Formicology
Essomabyabbuto,Gastrology
Essomabuyinja,Gemology
Essomamyakagyansi,Geochronology
Essomamagombegansi,Geology
Essomankulazanzi,Geomorphology
Essomabukadde,Gerontology
Essomagazira,Glaciology
Essomabujjanjabikazi,Gynecology
Essomamusaayi,Hematology
Essomanjuba,Heliology
Essomabikankanyanjuba,Helioseismology
Essomalunyunyunsi,Helminthology
Essomakibumba,Hepatology
Essomakijjanjabisabimera,Herbology
Essomalubbira,Herpetology
Essomabiku,Heteroptology
Essomandogoyi,Hippology
Essomabinnwa,Histology
Essomandwaddezabinwa,Histopathology
Essomamazzimumagombe,Hydrogeology
Essomamazzi,Hydrology
Essomabuufubwadda,Ichnology
Essomabyennyanja,Ichthyology
Essomakikirwanyisandwadde,Immunology
Essomakitambuzatuntu,Kinesiology
Essomaluyengo,Kymatology
Essomabiwojjolo,Lepidopterology
Essomazzimalungi,Limnology
Essomanjazi,Lithology
Essomabisanjabavu,Lymphology
"Essomaluyonsa,",Mammalogy
Essomabudde,Meteorology
Esssomangeri,Methodology
Essomabipimo,Metrology
Essomampimo,geometry
Essomabusirikitu,Microbiology
Essomankwataganyabusirikitu,Micrology
Essomaminero,Mineralogy
Essomabufungi,Mycology
Essomamifumbi,Myology
Essomabikuyege,Myrmecology
Essomannyanguyirizi za molekyo,Nanotechnology
Essomabikuubagano,Nanotribology
Essomamabujjenyi,Neonatology
Essomabire,Nephology
Essomansiggo,Nephrology
Essomabusimu,Neurology
Essomabirwadde bya busimu,Neuropathology
Essomabikolebwabusimu,Neurophysiology
Essomamitenderagyandwadde,Nosology
Essomagayany,Oceanology
Essomabinnyo,Odontology
Essomakookolo,Oncology
Essomamagi,Oology
Essomamaaso,Ophthalmology
Essomabinyonyi,Ornithology
Essomansozi,Orology
"Essomabiyanzi,",Orthopterology
Essomamagumba,Osteology
Essomamatumiro,Otolaryngology
Essomamatu,Otology
Essomamatunnyiro,Otorhinolaryngology
Essomabyeddennyo,Paleoanthropology
Essomabulamubwaddannyo,Paleobiology
Essomabeerazeddeeenyo,Paleoclimatology
Essomabisigaliramunbyazi,Paleoecology
Essomabisigalirebyeddennyo,Paleontology
Essomabumereddennyo,Paleophytology
Essomabisorebyeddennyo,Paleozoology
Essomabinyunyunynsi,Parasitology
Essomandwadde,Pathology
essomabulamu,biology
Essomabiramu,biology
Essomabuziba,chemistry
Essomabuzimbe,physics
Essomabutonde,physics
Ekinonoozo,engineering
Omunonooza,engineer
Ennyanguyirizi,Machine
Ekyanguyirizi,machine
Essomabiragala,Pharmacology
Essoamkalondaw’ebiramu ow’ekiseera,Phenology
Essomamaloboozi,Phonology
Essomabitundubya biramu,Physiology
Essomabimera,Phytology
Essomabimera,batony
Essomabisolo,zoology
Essomabirwadde bya bimera,Phytopathology
Essomabusangiro bwa bimera,Phytosociology
Essomankulunjuba,Planetology)
Essomankatoni,Planktology
Essomabibala,Pomology
Essomaddozi,Posology
Essomakifulumyakazambi,Primatology
Essomabamuntunsolo,Primatology
Ekikulukusakazambi,Sewage
Essomakikulukusakazambi,The study of Sewage
Essomabirowoozo,Psychology
Essomambeera ya birowoozo,Psychobiology
Essomandwadde za bwaongo,Psychopathology
Essomaddagalalyandwaddezabwongo,Psychopharmacology
Essomandwadde za mawuggwe n’okussa ,Pulmonology
Essomamigendogyakitangaala,Radiology
Ssekaloopera,reflex
Essomasekaloopera,Reflexology
Essomakkulukuta,Rheology
Essomanyindo,Rhinology
Essomabitendero,Sedimentology
Essomamusisiwazansi,Seismology
Essomamwezi,Selenology
Ekizaalibwo,Sex
Essomakizaalibwo,Sexology
Essomandya,Sitiology
Essomantabaganyi,Sociology
Essomabisonjozo bya muntu,Somatology
Essomatulo,Somnology
Essomakyekebejjampuku,Speleology
Essomabubonero bwa ndwadde,Symptomatically
Essomakitondekabikole,Technology
Essomakwoki,Thermology
Essomakizaalisa,Tocology
Essomabukwataganu,Topology
Essomabutwa,Toxicology
Essomabiwundu,Traumatology
Essomakikuubareza,Tribology
Essomasitukamunviiri,Trichology
Essomansengeka,Typology
Essomabigemiso,Vaccinology
Essomavayiraasi,Virology
Okupuluka,to errupt
Essomabipuluko,vulcanology
Essomabipuluko,Volcanology
Essomabulamubugwira,Xenobiology
Essomabiti,Xylology
Essomabisigalira bya bisolo,Zooarchaeology
Essomabisolo,Zoology
Essomabirwadde bya nsolo,Zoopathology
Essomabirowoozo bya bisolo,Zoopsychology
Essomakitamuuluzo,Zymology
Okugatta ebigambo,Compounding words
endagabwolekero,compass
endagabwolekero,compass rose
endaga,that which shows
Endagakifo,GPS
Endagakifo,Geographic Positioning System
Bbomu y’obuziba,atomic bomb
Bbomu y'Obuziizi,nuclear bomb
ekiyumba ekigerere,greenhouse
okulambulula ennamba,to factor a number
okulambulula ebirowoozo,deductive reasoning
okulambulula ebirowoozo,thinking
okulambika ebiriwoozo,inductive reasoning
ennamba enambulukufu,composite number
okugendaggana,parallelism
Ekitontome ky'Amasoboza,The Poem on Energy
"Ekitontome kya ""Empalirizo"" ekisooka","the first poem on ""the Forces"""
Ekitontome ky'Empalirizo eky'Okubiri,the second poem on the Forces
Ekitontome ky’ Okuva,The Poem of Motion
Ekitontome ku Nabuzimbe,Ekitontome ku Nabuzimbe
Ekitontome ky’Amazzi,the poem on water
Ekitontome ku Empalirizo z’Obutonde,the Poem on the Forces of nature
Ekitontome ku Mpiyinnyingi,the Poem on Polygons
Ekitontome ku Mpuyinnya,the Poem on Quadrilaterals
Ekitontome ky’Enjuba,The Poem of the Sun
Ebitontome by’Ekibalangulo,the Poems of mathematics
 Ekitangaala,Light
Obutunniinya bw’ekitangaala,Particles of light
Obupaketi bw’ekitangaala,Packets of light
Obutonniinya oba obutoffaali bw'atomu,Subatomic particles
Obutonniinya oba obutoffaali bw'akaziba,Subatomic particles
Obutinniinya,The building blocks of the atom
byebulungulo by’omugendo gw'amasanyalaze ne Magineeti,Electromagnetic fields
Ebbugumu,Heat
Olubugumu ly’ebbugumu,Radiation
oluyengo ly’ebbugumu,Radiation
Omugendo gw’ekitangaala,A Ray of light
Kisaaganda ky’obutonniinya,Stream of particles
Obuntu obusirikitu,Microscopic objects
Omugendo gw’amasoboza,Movement of energy
Omugendo gw’amasoboza g’amasanyalaze ne magineeti,electromagnetic energy
Omugendo gwa erakitomagineeti,Electromagnetic radiation
Ejjengo,Wave
Omugendo gw’amasannyalaze,Current
Ejjengo ly’ekitangaala,Light wave
Amayengo,Waves
Obuwanvu bw’ejjengo,Wave length
Buwanvu bw’amayengo,Wave lengths
Enziringana,Frequency
Amayengo agegonyola,Transverse waves
Ekitangaayisa,Transparent object
Ekitangaalijja,Translucent object
Ekitangazziro,Opaque object
Ekitangattisa,Photosynthesis
Endaga ya Kkala z’ekitangaala,Colour spectrum
Eggabo lya Kkala za Musoke ez'emkuba,Rainbow colours
Okwabuluza mu kitangaala,Splitting light
Eggaboly'endaga za kkalaza za musoke ez'enkuba,Rainbow spectrum
Ekigulumiro,Prism
Ekigulumiro eky’ekirawuli,Glass prism
Oluyengo lw’ebbugumu,Radiation
Olubugumu lw’ebbugumu,Radiation
Amayengo g’ekitangaala,Light waves
Omugendo gw'Amayengo ga magineeti ne magineeti,Electromagnetic waves
Obupaketi bw’ekitangaala,Packets of light
Obutoffaali bw’ekitangaala,Particles of light
Omugendo gw’ekitangaala,Ray of light
Emigendo gy’ekitangaala,Rays of light
Obupoto bw’ekitangaala,Photons of light
Obupoto,Photons
ky’ekitangaala,Reflection of light
Ekifaanaganyo,Reflection of light
Ekiwetulo ky’ ekitangaala,Refraction of light
Obutoffaalikazimbakitangaala,The building blocks of light
Nabbilye w’amayengo ne patiki,The wave–particle duality
Ensibuko z’ekitangaala,Sources of light
Nabbugumya,Thermal
Nabbugumya,incandescence
Olubugumu lw’enzitoya enzirugavu ,Black-body radiation
Mayengo aga elakitomagineeti,Electromagnetic waves
Ekitangaala ekirabika,Visible light
Endaga ya elakitomagineeti,Electromagnetic spectrum
Omuyitiro,Medium
Okugujumira,Vibrate
Molekyu,Molecules
Omugendo,A Ray of energy
Balibu z’amasanyalaze eza nabbugumya,ncandenscent light Bulbs
Balibu za nabbugumya,Incandescent bulbs
Kkala eri emabega w’emmyufu,Infrared
Okwengerera,to glow
Ekivakyumu,Vacuum
Ekyangaala,Vacuum
Atomu,Atoms
Obuziba,Atom
Obuziba,Atoms
Emisinde gy’ekitangaala,Speed of Light
Omwaka gw’ekitangaala,Light year
Ensengekera z’entababutonde,ecosystems
nampewo,atmosphere
bannantababutonde,ecologists
Semazzi,waterbodies
Ensengekera z’entababutonde,Ecological systems
Ensengekera z’entababutonde ez’amazzi agattali mannyowavu,Freshwater ecosystems
n’enzizi,inland water ecosystems
Emitendera gy’enteekateeka y’Entababutonde,Levels of ecological organization
Ekyebulungulo ky’Obulamu,Biosphere sphere
Entababiramu,biome
Entababutonde,ecosystem
Entababuvo,community
Entababibinja,population
Ekitonde ekiramu,organism
Ensengekera y’ekitundu ky’ekiramu,organ system
Ekitundu ky’ekitramu,organ
Emiwuula,tissues
Ekikula,Species
Ebyebulungulo by’ebiramu,biospheres
